City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,saudarkrokur,65.7461,-19.6394,279.98,92,100,1.63,IS,1718735425
110,carovigno,40.708,17.655,303.6,51,0,3.14,IT,1718735426
111,aykhal,66.0,111.5,281.19,64,19,1.63,RU,1718735426
112,santa luzia,-19.7697,-43.8514,300.34,38,20,2.06,BR,1718735293
113,georgetown,5.4112,100.3354,301.11,82,20,1.54,MY,1718735174
114,santo antonio do ica,-3.1022,-67.9397,305.41,52,8,1.09,BR,1718735428
115,tidjikja,18.5564,-11.4271,310.52,24,88,3.1,MR,1718735428
116,geraldton,-28.7667,114.6,285.38,87,45,3.6,AU,1718735285
117,rongelap,11.1635,166.8941,301.4,78,98,7.54,MH,1718735429
118,kapuskasing,49.4169,-82.4331,303.2,58,40,6.17,CA,1718735430
119,togur,58.3631,82.8265,281.35,84,90,7.71,RU,1718735430
120,cromwell,41.5951,-72.6454,307.49,61,0,6.17,US,1718735431
121,tiksi,71.6872,128.8694,276.43,88,86,0.68,RU,1718735431
122,papatowai,-46.5619,169.4708,280.06,77,5,8.01,NZ,1718735432
123,laguna,38.421,-121.4238,302.89,25,0,2.57,US,1718735432
124,taroa,8.7058,171.2275,300.89,81,99,7.19,MH,1718735433
125,natal,-5.795,-35.2094,302.51,61,75,8.23,BR,1718735345
126,constantia,44.1833,28.65,296.53,70,81,3.96,RO,1718735434
127,weno,7.4515,151.8468,301.03,76,98,4.08,FM,1718735434
128,bonthe,7.5264,-12.505,298.15,86,100,1.37,SL,1718735435
129,yigo village,13.5361,144.8886,300.31,86,75,4.63,GU,1718735435
130,tazovsky,67.4667,78.7,272.03,83,36,8.38,RU,1718735436
131,punta arenas,-53.15,-70.9167,274.21,60,40,8.75,CL,1718735227
132,assab,13.0092,42.7394,305.51,60,21,6.57,ER,1718735438
133,al bayda,32.7627,21.7551,294.26,59,0,1.59,LY,1718735438
134,nakamura,32.9833,132.9333,291.05,95,16,1.64,JP,1718735146
135,thompson,55.7435,-97.8558,287.24,47,75,7.2,CA,1718735439
136,mournies,35.4764,24.0092,301.37,57,0,3.09,GR,1718735440
137,namibe,-15.1961,12.1522,291.57,85,21,3.45,AO,1718735440
138,qaqortoq,60.7167,-46.0333,279.49,69,18,2.9,GL,1718735441
139,fale old settlement,-9.3852,-171.2468,301.89,77,100,7.66,TK,1718735441
140,puerto deseado,-47.7503,-65.8938,276.86,82,100,11.7,AR,1718735442
141,olonkinbyen,70.9221,-8.7187,273.77,97,100,3.16,SJ,1718735443
142,sao vicente,-23.9631,-46.3919,305.13,22,0,2.06,BR,1718735443
143,kuala tungkal,-0.8167,103.4667,297.78,93,70,2.34,ID,1718735444
144,wailua homesteads,22.0669,-159.378,296.59,86,100,6.69,US,1718735444
145,burang,30.25,81.1667,280.14,72,79,2.88,CN,1718735445
146,port macquarie,-31.4333,152.9167,279.3,92,0,0.89,AU,1718735445
147,batticaloa,7.7102,81.6924,300.82,78,100,0.92,LK,1718735446
148,konosha,60.9736,40.257,290.41,99,100,1.78,RU,1718735446
149,kindu,-2.95,25.95,297.7,49,1,0.59,CD,1718735446
150,pasuquin,18.3328,120.6177,299.12,100,75,1.54,PH,1718735447
151,adrar,20.5022,-10.0711,310.55,17,90,7.85,MR,1718735447
152,superior,46.7208,-92.1041,301.75,95,100,6.69,US,1718735448
153,karasuk,53.7377,78.0403,285.01,83,7,3.55,RU,1718735448
154,inari,68.906,27.0288,289.8,91,100,4.08,FI,1718735449
155,kenai,60.5544,-151.2583,285.94,79,20,6.17,US,1718735449
156,hamilton,39.1834,-84.5333,307.54,54,20,3.09,US,1718735418
157,sao felix do xingu,-6.6447,-51.995,307.64,28,2,1.54,BR,1718735450
158,utrik,11.2278,169.8474,301.07,80,26,7.25,MH,1718735451
159,nushki,29.5542,66.0215,304.03,13,0,3.44,PK,1718735451
160,thunder bay,48.4001,-89.3168,291.1,88,75,5.66,CA,1718735426
161,tamluk,22.3,87.9167,304.55,58,100,4.67,IN,1718735452
162,joshimath,30.5667,79.5667,291.11,61,100,1.57,IN,1718735452
163,kota belud,6.351,116.4305,298.56,86,93,2.39,MY,1718735453
164,caspe,41.234,-0.0395,300.48,47,5,8.71,ES,1718735453
165,bulawayo,-20.15,28.5833,286.91,51,6,1.67,ZW,1718735454
166,antofagasta,-23.65,-70.4,289.75,73,33,3.31,CL,1718735306
167,colonia,50.9333,6.95,293.56,89,75,5.14,DE,1718735397
168,vorgashor,67.5833,63.95,271.24,92,74,4.19,RU,1718735455
169,timimoun,29.2639,0.231,318.36,12,84,7.2,DZ,1718735456
170,cottesloe,-32.0,115.7667,284.15,88,0,2.06,AU,1718735456
171,crane,31.3974,-102.3501,307.65,35,0,9.43,US,1718735457
172,laconia,43.5279,-71.4704,308.25,52,40,3.09,US,1718735457
173,petropavlovsk-kamchatsky,53.0452,158.6483,279.48,93,100,2.0,RU,1718735458
174,noosa heads,-26.3833,153.15,284.35,67,4,3.47,AU,1718735459
175,sinabang,2.4803,96.3801,299.69,82,13,1.92,ID,1718735459
176,ghadamis,30.1337,9.5007,310.29,12,0,6.38,LY,1718735460
177,kavaratti,10.5669,72.642,301.39,83,100,4.78,IN,1718735460
178,zhanaozen,43.3,52.8,306.75,23,92,5.28,KZ,1718735461
179,chimoio,-19.1164,33.4833,291.07,72,20,0.58,MZ,1718735461
180,talnakh,69.4865,88.3972,271.25,86,42,3.4,RU,1718735461
181,coquimbo,-29.9533,-71.3436,291.0,63,0,4.63,CL,1718735229
182,le coteau,46.0271,4.0869,300.27,96,100,3.29,FR,1718735462
183,siteki,-26.45,31.95,285.05,37,0,3.2,SZ,1718735463
184,lospalos,-8.5186,127.0025,292.23,76,2,2.76,TL,1718735463
185,at taj,24.2049,23.2857,305.36,16,0,5.06,LY,1718735464
186,nova sintra,14.8667,-24.7167,296.8,83,5,9.66,CV,1718735465
187,st. john's,47.5649,-52.7093,297.19,46,75,10.29,CA,1718735465
188,tarko-sale,64.9225,77.785,277.3,48,97,3.69,RU,1718735466
189,mizan teferi,6.9833,35.5833,288.94,97,70,1.4,ET,1718735466
190,san patricio,28.017,-97.5169,309.01,52,75,8.39,US,1718735467
191,besisahar,28.2313,84.3761,296.65,64,75,3.62,NP,1718735467
192,dwarka,22.2394,68.9678,302.68,83,23,7.67,IN,1718735468
193,shindand,33.3029,62.1474,301.68,19,0,11.98,AF,1718735468
194,jinka,5.65,36.65,292.81,72,100,0.66,ET,1718735468
195,gadzhiyevo,69.2551,33.3362,288.82,76,99,3.01,RU,1718735469
196,el fasher,13.6279,25.3494,308.05,25,23,4.5,SD,1718735470
197,kuvandyk,51.4781,57.3552,294.3,76,0,2.06,RU,1718735471
198,andergrove,-21.0833,149.1833,286.74,37,0,2.27,AU,1718735471
199,nar'yan-mar,67.6713,53.087,277.13,73,3,4.43,RU,1718735471
200,quellon,-43.1167,-73.6167,279.5,70,100,3.44,CL,1718735427
